area_id,parent_id,hierarchy
TR-46,TR-R-akdeniz,geographic
TR-47,TR-R-guneydogu_anadolu,geographic
TR-48,TR-R-ege,geographic
TR-49,TR-R-dogu_anadolu,geographic
TR-50,TR-R-ic_anadolu,geographic
TR-51,TR-R-ic_anadolu,geographic
TR-52,TR-R-karadeniz,geographic
TR-53,TR-R-karadeniz,geographic
TR-54,TR-R-marmara,geographic
TR-55,TR-R-karadeniz,geographic
TR-56,TR-R-guneydogu_anadolu,geographic
TR-57,TR-R-karadeniz,geographic
TR-58,TR-R-ic_anadolu,geographic
TR-59,TR-R-marmara,geographic
TR-60,TR-R-karadeniz,geographic
TR-61,TR-R-karadeniz,geographic
TR-62,TR-R-dogu_anadolu,geographic
TR-63,TR-R-guneydogu_anadolu,geographic
TR-64,TR-R-ege,geographic
TR-65,TR-R-dogu_anadolu,geographic
TR-66,TR-R-ic_anadolu,geographic
TR-67,TR-R-karadeniz,geographic
TR-68,TR-R-ic_anadolu,geographic
TR-69,TR-R-karadeniz,geographic
TR-70,TR-R-ic_anadolu,geographic
TR-71,TR-R-ic_anadolu,geographic
TR-72,TR-R-guneydogu_anadolu,geographic
TR-73,TR-R-guneydogu_anadolu,geographic
TR-74,TR-R-karadeniz,geographic
TR-75,TR-R-dogu_anadolu,geographic
TR-76,TR-R-dogu_anadolu,geographic
TR-77,TR-R-marmara,geographic
TR-78,TR-R-karadeniz,geographic
TR-79,TR-R-guneydogu_anadolu,geographic
TR-80,TR-R-akdeniz,geographic
TR-81,TR-R-karadeniz,geographic
TR1,TR,nuts
TR2,TR,nuts
TR3,TR,nuts
TR4,TR,nuts
TR5,TR,nuts
TR6,TR,nuts
TR7,TR,nuts
TR8,TR,nuts
TR9,TR,nuts
TRA,TR,nuts
TRB,TR,nuts
TRC,TR,nuts
TR10,TR1,nuts
TR21,TR2,nuts
TR22,TR2,nuts
TR31,TR3,nuts
TR32,TR3,nuts
TR33,TR3,nuts
TR41,TR4,nuts
TR42,TR4,nuts
TR51,TR5,nuts
TR52,TR5,nuts
TR61,TR6,nuts
TR62,TR6,nuts
TR63,TR6,nuts
TR71,TR7,nuts
TR72,TR7,nuts
TR81,TR8,nuts
TR82,TR8,nuts
TR83,TR8,nuts
TR90,TR9,nuts
TRA1,TRA,nuts
TRA2,TRA,nuts
TRB1,TRB,nuts
TRB2,TRB,nuts
TRC1,TRC,nuts
TRC2,TRC,nuts
TRC3,TRC,nuts
TR-01,TR62,nuts
TR-02,TRC1,nuts
TR-03,TR33,nuts
TR-68,TR71,nuts
TR-05,TR83,nuts
TR-06,TR51,nuts
TR-07,TR61,nuts
TR-75,TRA2,nuts
TR-08,TR90,nuts
TR-09,TR32,nuts
TR-04,TRA2,nuts
TR-10,TR22,nuts
TR-74,TR81,nuts
TR-72,TRC3,nuts
TR-69,TRA1,nuts
TR-11,TR41,nuts
TR-12,TRB1,nuts
TR-13,TRB2,nuts
TR-14,TR42,nuts
TR-15,TR61,nuts
TR-16,TR41,nuts
TR-20,TR32,nuts
TR-21,TRC2,nuts
TR-81,TR42,nuts
TR-22,TR21,nuts
TR-23,TRB1,nuts
TR-24,TRA1,nuts
TR-25,TRA1,nuts
TR-26,TR41,nuts
TR-27,TRC1,nuts
TR-28,TR90,nuts
TR-29,TR90,nuts
TR-30,TRB2,nuts
TR-31,TR63,nuts
TR-32,TR61,nuts
TR-76,TRA2,nuts
TR-46,TR63,nuts
TR-78,TR81,nuts
TR-70,TR52,nuts
TR-36,TRA2,nuts
TR-37,TR82,nuts
TR-38,TR72,nuts
TR-79,TRC1,nuts
TR-41,TR42,nuts
TR-42,TR52,nuts
TR-43,TR33,nuts
TR-39,TR21,nuts
TR-71,TR71,nuts
TR-40,TR71,nuts
TR-44,TRB1,nuts
TR-45,TR33,nuts
TR-47,TRC3,nuts
TR-33,TR62,nuts
TR-48,TR32,nuts
TR-49,TRB2,nuts
TR-50,TR71,nuts
TR-51,TR71,nuts
TR-52,TR90,nuts
TR-80,TR63,nuts
TR-53,TR90,nuts
TR-54,TR42,nuts
TR-55,TR83,nuts
TR-56,TRC3,nuts
TR-57,TR82,nuts
TR-58,TR72,nuts
TR-59,TR21,nuts
TR-60,TR83,nuts
TR-61,TR90,nuts
TR-62,TRB1,nuts
TR-64,TR33,nuts
TR-65,TRB2,nuts
TR-77,TR42,nuts
TR-66,TR72,nuts
TR-67,TR81,nuts
TR-17,TR22,nuts
TR-18,TR82,nuts
TR-19,TR83,nuts
TR-34,TR10,nuts
TR-35,TR31,nuts
TR-63,TRC2,nuts
TR-73,TRC3,nuts
