area_id,area_level,name_tr,parent_id,valid_from,valid_to,source_id,source_area_id
TR-17-004,district,Bozcaada,TR-17,,,hdx_cod_ab_tur,TR-D-17-004
TR-17-005,district,Çan,TR-17,,,hdx_cod_ab_tur,TR-D-17-005
TR-17-006,district,Çanakkale,TR-17,,,hdx_cod_ab_tur,TR-D-17-006
TR-17-007,district,Eceabat,TR-17,,,hdx_cod_ab_tur,TR-D-17-007
TR-17-008,district,Ezine,TR-17,,,hdx_cod_ab_tur,TR-D-17-008
TR-17-009,district,Gelibolu,TR-17,,,hdx_cod_ab_tur,TR-D-17-009
TR-17-010,district,Gökçeada,TR-17,,,hdx_cod_ab_tur,TR-D-17-010
TR-17-011,district,Lâpseki,TR-17,,,hdx_cod_ab_tur,TR-D-17-011
TR-17-012,district,Yenice,TR-17,,,hdx_cod_ab_tur,TR-D-17-012
TR-18-001,district,Atkaracalar,TR-18,,,hdx_cod_ab_tur,TR-D-18-001
TR-18-002,district,Bayramören,TR-18,,,hdx_cod_ab_tur,TR-D-18-002
TR-18-003,district,Çankırı,TR-18,,,hdx_cod_ab_tur,TR-D-18-003
TR-18-004,district,Çerkeş,TR-18,,,hdx_cod_ab_tur,TR-D-18-004
TR-18-005,district,Eldivan,TR-18,,,hdx_cod_ab_tur,TR-D-18-005
TR-18-006,district,Ilgaz,TR-18,,,hdx_cod_ab_tur,TR-D-18-006
TR-18-007,district,Kızılırmak,TR-18,,,hdx_cod_ab_tur,TR-D-18-007
TR-18-008,district,Korgun,TR-18,,,hdx_cod_ab_tur,TR-D-18-008
TR-18-009,district,Kurşunlu,TR-18,,,hdx_cod_ab_tur,TR-D-18-009
TR-18-010,district,Orta,TR-18,,,hdx_cod_ab_tur,TR-D-18-010
TR-18-011,district,Şabanözü,TR-18,,,hdx_cod_ab_tur,TR-D-18-011
TR-18-012,district,Yapraklı,TR-18,,,hdx_cod_ab_tur,TR-D-18-012
TR-19-001,district,Alaca,TR-19,,,hdx_cod_ab_tur,TR-D-19-001
