area_id,group_id,group_label,member_count,basis
TR-13-006,TR-13-006,Mutki,1,single
TR-13-007,TR-13-007,Tatvan,1,single
TR-14-001,TR-14-001,Bolu,1,single
TR-14-002,TR-14-002,Dörtdivan,1,single
TR-14-003,TR-14-003,Gerede,1,single
TR-14-004,TR-14-004,Göynük,1,single
TR-14-005,TR-14-005,Kıbrıscık,1,single
TR-14-006,TR-14-006,Mengen,1,single
TR-14-007,TR-14-007,Mudurnu,1,single
TR-14-008,TR-14-008,Seben,1,single
TR-14-009,TR-14-009,Yeniçağa,1,single
TR-15-001,TR-15-001,Ağlasun,1,single
TR-15-002,TR-15-002,Altınyayla,1,single
TR-15-003,TR-15-003,Bucak,1,single
TR-15-004,TR-15-004,Burdur,1,single
TR-15-005,TR-15-005,Çavdır,1,single
TR-15-006,TR-15-006,Çeltikçi,1,single
TR-15-007,TR-15-007,Gölhisar,1,single
TR-15-008,TR-15-008,Karamanlı,1,single
TR-15-009,TR-15-009,Kemer,1,single
TR-15-010,TR-15-010,Tefenni,1,single
TR-15-011,TR-15-011,Yeşilova,1,single
TR-16-001,TR-16-001,Büyükorhan,1,single
TR-16-002,TR-16-002,Gemlik,1,single
TR-16-003,TR-16-003,Gürsu,1,single
TR-16-004,TR-16-004,Harmancık,1,single
TR-16-005,TR-16-005,İnegöl,1,single
TR-16-006,TR-16-006,İznik,1,single
TR-16-007,TR-16-007,Karacabey,1,single
TR-16-008,TR-16-008,Keles,1,single
TR-16-009,TR-16-009,Kestel,1,single
TR-16-010,TR-16-010,Mudanya,1,single
TR-16-011,TR-16-011,Mustafakemalpaşa,1,single
TR-16-012,TR-16-012,Nilüfer,1,single
TR-16-013,TR-16-013,Orhaneli,1,single
TR-16-014,TR-16-014,Orhangazi,1,single
TR-16-015,TR-16-015,Osmangazi,1,single
TR-16-016,TR-16-016,Yenişehir,1,single
TR-16-017,TR-16-017,Yıldırım,1,single
TR-17-001,TR-17-001,Ayvacık,1,single
TR-17-002,TR-17-002,Bayramiç,1,single
TR-17-003,TR-17-003,Biga,1,single
TR-17-004,TR-17-004,Bozcaada,1,single
TR-17-005,TR-17-005,Çan,1,single
